Nome do Repositorio;Data de Criacao;Data de Atualizacao;Linguagem Primaria;Total de Releases;Pull Requests Aceitos;Total de Issues;Issues Fechadas
openai/codex;2025-04-13T05:37:54Z;2026-03-05T22:14:34Z;Rust;572;4291;6222;4836
prometheus/prometheus;2012-11-24T11:14:12Z;2026-03-05T21:25:12Z;Go;359;8236;6386;5873
socketio/socket.io;2010-03-11T18:24:48Z;2026-03-05T16:39:31Z;TypeScript;82;440;3650;3464
resume/resume.github.com;2011-02-06T13:39:55Z;2026-03-05T20:11:27Z;JavaScript;0;84;126;66
alacritty/alacritty;2016-02-18T05:02:30Z;2026-03-05T22:15:36Z;Rust;105;1918;6249;5928
OpenBB-finance/OpenBB;2020-12-20T10:46:38Z;2026-03-05T22:15:15Z;Python;54;4216;2285;2251
openinterpreter/open-interpreter;2023-07-14T07:10:44Z;2026-03-05T22:06:30Z;Python;48;384;1049;803
nocodb/nocodb;2017-10-29T18:51:48Z;2026-03-05T22:23:02Z;TypeScript;183;5822;4495;4064
daytonaio/daytona;2024-02-06T08:21:20Z;2026-03-05T22:02:53Z;TypeScript;162;1855;1069;833
traefik/traefik;2015-09-13T19:04:02Z;2026-03-05T20:44:46Z;Go;506;5076;6605;5935
rust-lang/rustlings;2015-09-15T02:25:18Z;2026-03-05T16:19:23Z;Rust;46;922;758;709
gorhill/uBlock;2015-04-01T17:51:11Z;2026-03-05T22:27:01Z;JavaScript;283;256;3447;3434
FuelLabs/sway;2021-01-19T20:54:33Z;2026-03-05T12:58:54Z;Rust;185;3638;3264;2418
ryanoasis/nerd-fonts;2014-12-05T04:31:17Z;2026-03-05T22:20:36Z;CSS;38;565;1127;1080
affaan-m/everything-claude-code;2026-01-18T00:51:51Z;2026-03-05T22:32:01Z;JavaScript;10;88;129;124
lodash/lodash;2012-04-07T04:11:46Z;2026-03-05T17:51:55Z;JavaScript;2;614;4338;4274
tldr-pages/tldr;2013-12-08T07:34:43Z;2026-03-05T22:17:05Z;Markdown;6;17749;1684;1480
reduxjs/redux;2015-05-29T23:53:15Z;2026-03-05T10:22:03Z;TypeScript;78;1746;2067;2030
unclecode/crawl4ai;2024-05-09T09:48:50Z;2026-03-05T22:01:22Z;Python;13;163;933;751
LadybirdBrowser/ladybird;2024-05-30T09:18:10Z;2026-03-05T22:21:59Z;C++;0;5893;1474;926
atom/atom;2012-01-20T18:18:21Z;2026-03-05T10:56:04Z;JavaScript;538;3937;17111;16148
xingshaocheng/architect-awesome;2018-04-06T13:30:58Z;2026-03-05T15:42:23Z;N/A;0;49;71;23
h5bp/Front-end-Developer-Interview-Questions;2012-02-09T23:34:10Z;2026-03-05T21:40:48Z;Nunjucks;0;484;177;143
scrapy/scrapy;2010-02-22T02:01:14Z;2026-03-05T22:08:49Z;Python;46;2475;3241;2780
youngyangyang04/leetcode-master;2019-12-14T12:05:42Z;2026-03-05T17:35:29Z;Shell;0;2311;277;68
BurntSushi/ripgrep;2016-03-11T02:02:33Z;2026-03-05T22:15:24Z;Rust;74;544;1767;1673
minio/minio;2015-01-14T19:23:58Z;2026-03-05T21:57:07Z;Go;521;9882;7885;7840
commaai/openpilot;2016-11-24T01:33:30Z;2026-03-05T22:22:36Z;Python;61;12647;3223;3042
adam-p/markdown-here;2012-05-13T03:27:22Z;2026-03-05T18:22:14Z;JavaScript;17;27;634;333
jquery/jquery;2009-04-03T15:20:14Z;2026-03-05T19:45:35Z;JavaScript;13;867;2381;2305
nuxt/nuxt;2016-10-26T11:18:47Z;2026-03-05T22:32:43Z;TypeScript;274;7469;17160;16350
spring-projects/spring-framework;2010-12-08T04:04:45Z;2026-03-05T22:28:25Z;Java;357;905;27888;27577
jgraph/drawio-desktop;2017-05-25T20:58:42Z;2026-03-05T22:20:59Z;JavaScript;169;22;1738;1677
pathwaycom/pathway;2022-11-27T13:01:14Z;2026-03-05T21:50:13Z;Python;84;19;140;113
CorentinJ/Real-Time-Voice-Cloning;2019-05-26T08:56:15Z;2026-03-05T18:29:33Z;Python;0;50;1111;951
git/git;2008-07-23T14:21:26Z;2026-03-05T21:50:27Z;C;0;3;0;0
shadowsocks/shadowsocks-windows;2013-01-14T07:54:16Z;2026-03-05T16:09:55Z;C#;55;290;2915;2727
meta-llama/llama;2023-02-14T09:29:12Z;2026-03-05T16:50:02Z;Python;0;54;1112;652
Solido/awesome-flutter;2017-05-07T11:45:27Z;2026-03-05T22:26:39Z;Dart;0;448;0;0
topjohnwu/Magisk;2016-09-08T12:42:53Z;2026-03-05T20:06:59Z;Rust;156;1688;6492;6453
Asabeneh/30-Days-Of-Python;2019-11-19T17:24:16Z;2026-03-05T22:12:30Z;Python;0;137;142;84
angular/angular.js;2010-01-06T00:34:37Z;2026-03-05T13:52:42Z;JavaScript;0;790;9033;8644
cline/cline;2024-07-06T07:28:10Z;2026-03-05T22:02:06Z;TypeScript;239;3244;3417;2916
PlexPt/awesome-chatgpt-prompts-zh;2022-12-12T01:55:03Z;2026-03-05T21:59:05Z;N/A;0;33;97;59
rails/rails;2008-04-11T02:19:47Z;2026-03-05T22:14:57Z;Ruby;160;25884;18481;17973
FiloSottile/mkcert;2018-06-25T05:33:03Z;2026-03-05T22:32:04Z;Go;14;52;350;241
FFmpeg/FFmpeg;2011-04-14T14:12:38Z;2026-03-05T20:18:01Z;C;0;0;0;0
sharkdp/bat;2018-04-21T10:52:23Z;2026-03-05T22:32:02Z;Rust;43;1577;1580;1266
usememos/memos;2021-12-08T15:30:18Z;2026-03-05T21:11:54Z;Go;86;1917;2824;2812
h5bp/html5-boilerplate;2010-01-24T18:03:24Z;2026-03-05T19:11:25Z;JavaScript;34;804;1358;1353
FuelLabs/fuel-core;2020-08-27T21:12:14Z;2026-03-05T07:22:49Z;Rust;124;1616;1154;996
withastro/astro;2021-03-15T17:19:47Z;2026-03-05T21:46:36Z;TypeScript;1000;8245;5975;5787
pmndrs/zustand;2019-04-09T09:10:06Z;2026-03-05T20:44:08Z;TypeScript;101;888;693;691
scutan90/DeepLearning-500-questions;2018-06-27T06:36:45Z;2026-03-05T16:11:39Z;JavaScript;0;302;192;81
zylon-ai/private-gpt;2023-05-02T09:15:31Z;2026-03-05T18:19:50Z;Python;10;226;1227;965
ultralytics/yolov5;2020-05-18T03:45:11Z;2026-03-05T17:56:57Z;Python;10;2239;9440;9401
soimort/you-get;2012-08-20T15:53:36Z;2026-03-05T15:01:44Z;Python;123;582;0;0
pocketbase/pocketbase;2022-07-05T06:06:21Z;2026-03-05T21:48:45Z;Go;244;55;1952;1928
dani-garcia/vaultwarden;2018-02-17T22:40:20Z;2026-03-05T22:11:25Z;Rust;78;1080;2562;2552
remix-run/react-router;2014-05-16T22:22:51Z;2026-03-05T16:58:53Z;TypeScript;326;3414;8311;8197
pathwaycom/llm-app;2023-07-19T08:43:37Z;2026-03-05T21:50:10Z;Jupyter Notebook;0;49;18;13
meilisearch/meilisearch;2018-04-23T11:45:28Z;2026-03-05T22:14:37Z;Rust;299;2339;2393;2167
ageitgey/face_recognition;2017-03-03T21:52:39Z;2026-03-05T18:21:42Z;Python;2;94;1378;598
rust-unofficial/awesome-rust;2014-07-17T10:45:10Z;2026-03-05T22:12:03Z;Rust;0;1696;143;133
pi-hole/pi-hole;2014-06-08T15:02:55Z;2026-03-05T22:04:32Z;Shell;123;2171;3126;3095
gatsbyjs/gatsby;2015-05-21T22:43:05Z;2026-03-05T22:03:04Z;JavaScript;158;18253;14130;13914
rclone/rclone;2014-03-16T16:19:57Z;2026-03-05T22:16:58Z;Go;121;2307;5967;5034
azl397985856/leetcode;2018-03-30T09:13:51Z;2026-03-05T15:29:35Z;JavaScript;40;257;256;248
Textualize/rich;2019-11-10T15:28:09Z;2026-03-05T21:20:47Z;Python;175;860;1481;1264
Mintplex-Labs/anything-llm;2023-06-04T02:29:14Z;2026-03-05T21:47:11Z;JavaScript;25;1296;3222;2945
wasabeef/awesome-android-ui;2014-12-24T01:45:03Z;2026-03-05T18:25:28Z;N/A;0;90;115;94
opendatalab/MinerU;2024-02-29T08:52:34Z;2026-03-05T22:30:56Z;Python;143;1319;2093;1903
RVC-Boss/GPT-SoVITS;2024-01-14T18:05:21Z;2026-03-05T20:35:33Z;Python;4;355;2008;1232
tiimgreen/github-cheat-sheet;2014-04-12T16:38:42Z;2026-03-05T22:26:44Z;N/A;0;129;75;49
golang-standards/project-layout;2017-09-09T16:33:26Z;2026-03-05T19:02:48Z;Makefile;0;94;115;44
AntonOsika/gpt-engineer;2023-04-29T12:52:15Z;2026-03-05T21:20:53Z;Python;21;351;501;470
microsoft/autogen;2023-08-18T11:43:45Z;2026-03-05T21:24:51Z;Python;98;2534;2940;2494
Z4nzu/hackingtool;2020-04-11T09:21:31Z;2026-03-05T21:24:07Z;Python;0;57;392;322
FoundationAgents/OpenManus;2025-03-06T14:08:14Z;2026-03-05T20:10:23Z;Python;3;115;741;388
appwrite/appwrite;2019-04-08T16:36:25Z;2026-03-05T21:25:37Z;TypeScript;120;4448;4298;3756
deepfakes/faceswap;2017-12-19T09:44:13Z;2026-03-05T22:32:21Z;Python;5;363;898;896
docling-project/docling;2024-07-09T07:50:26Z;2026-03-05T22:05:31Z;Python;155;737;1630;817
starship/starship;2019-04-02T03:23:12Z;2026-03-05T22:17:38Z;Rust;138;3060;2629;1853
lencx/ChatGPT;2022-12-07T09:43:02Z;2026-03-05T20:55:12Z;Rust;34;123;1253;368
marktext/marktext;2017-11-12T16:05:25Z;2026-03-05T22:19:50Z;JavaScript;36;944;3002;1654
ElemeFE/element;2016-09-03T06:19:26Z;2026-03-05T15:43:37Z;Vue;145;3231;17894;15249
karpathy/nanoGPT;2022-12-28T00:51:12Z;2026-03-05T21:30:53Z;Python;0;45;353;114
go-gitea/gitea;2016-11-01T02:13:26Z;2026-03-05T22:12:06Z;Go;224;18520;15436;12818
maybe-finance/maybe;2024-01-01T22:23:46Z;2026-03-05T13:48:06Z;Ruby;28;1073;0;0
ultralytics/ultralytics;2022-09-11T16:39:45Z;2026-03-05T22:10:21Z;Python;349;4244;12487;12355
psf/requests;2011-02-13T18:38:17Z;2026-03-05T22:32:44Z;Python;14;1619;4127;3943
necolas/normalize.css;2011-05-04T10:20:25Z;2026-03-05T18:28:48Z;CSS;0;56;517;470
laurent22/joplin;2017-01-16T21:49:41Z;2026-03-05T20:16:23Z;TypeScript;400;5230;7762;7180
facebookresearch/segment-anything;2023-03-23T17:03:03Z;2026-03-05T18:24:49Z;Jupyter Notebook;0;16;717;182
wagoodman/dive;2018-05-13T15:44:01Z;2026-03-05T22:15:24Z;Go;28;164;373;205
unslothai/unsloth;2023-11-29T16:50:09Z;2026-03-05T22:09:49Z;Python;23;775;2974;2113
romkatv/powerlevel10k;2019-02-24T19:09:45Z;2026-03-05T18:00:12Z;Shell;33;168;2604;2488
vuejs/core;2018-06-12T13:49:36Z;2026-03-05T21:20:54Z;TypeScript;268;3638;5954;5303
ngosang/trackerslist;2016-04-24T11:57:57Z;2026-03-05T21:09:57Z;N/A;0;1;509;501
microsoft/ai-agents-for-beginners;2024-11-28T10:42:52Z;2026-03-05T22:32:22Z;Jupyter Notebook;0;317;86;86
google/material-design-icons;2014-10-08T18:01:28Z;2026-03-05T20:31:12Z;N/A;16;50;1563;1177
mozilla/pdf.js;2011-04-26T06:32:03Z;2026-03-05T21:49:22Z;JavaScript;83;8472;10424;9992
firstcontributions/first-contributions;2016-09-20T14:35:09Z;2026-03-05T21:10:44Z;N/A;0;94647;1365;1328
WerWolv/ImHex;2020-11-10T14:27:00Z;2026-03-05T22:01:04Z;C++;82;725;1556;1252
Zie619/n8n-workflows;2025-05-14T08:43:59Z;2026-03-05T21:34:54Z;Python;1;34;98;80
JetBrains/kotlin;2012-02-13T17:29:58Z;2026-03-05T22:25:02Z;Kotlin;284;2136;0;0
ionic-team/ionic-framework;2013-08-20T23:06:02Z;2026-03-05T18:59:09Z;TypeScript;930;6519;22140;21546
cloudcommunity/Free-Certifications;2020-07-31T10:26:19Z;2026-03-05T22:26:46Z;N/A;0;115;65;19
sickcodes/Docker-OSX;2020-06-04T11:01:37Z;2026-03-05T21:54:44Z;Shell;0;109;681;287
TryGhost/Ghost;2013-05-04T11:09:13Z;2026-03-05T21:51:02Z;JavaScript;954;15694;7219;7153
typst/typst;2019-09-24T21:41:56Z;2026-03-05T22:13:26Z;Rust;27;2234;4056;2958
PowerShell/PowerShell;2016-01-13T23:41:35Z;2026-03-05T14:18:29Z;C#;193;8063;13323;12138
prettier/prettier;2016-11-29T17:13:37Z;2026-03-05T18:45:50Z;JavaScript;134;9665;7179;5980
2dust/v2rayNG;2019-05-15T02:15:31Z;2026-03-05T20:57:01Z;Kotlin;282;541;3690;3684
etcd-io/etcd;2013-07-06T21:57:21Z;2026-03-05T20:09:18Z;Go;272;10221;7120;7007
xai-org/grok-1;2024-03-17T08:53:38Z;2026-03-05T20:35:09Z;Python;0;5;0;0
termux/termux-app;2015-10-23T09:42:46Z;2026-03-05T21:59:36Z;Java;95;177;3024;2592
google/guava;2014-05-29T16:23:17Z;2026-03-05T20:33:54Z;Java;57;1195;3649;3029
vsouza/awesome-ios;2014-07-10T16:03:45Z;2026-03-05T16:30:12Z;Swift;0;2240;494;490
jekyll/jekyll;2008-10-20T06:29:03Z;2026-03-05T21:36:04Z;Ruby;112;3197;4925;4798
coollabsio/coolify;2021-01-25T20:54:01Z;2026-03-05T22:26:14Z;PHP;665;2305;3464;2884
Semantic-Org/Semantic-UI;2013-04-08T23:32:04Z;2026-03-05T15:43:49Z;JavaScript;154;356;6235;5269
chinese-poetry/chinese-poetry;2016-09-02T03:32:25Z;2026-03-05T15:35:27Z;JavaScript;1;137;213;92
DefinitelyTyped/DefinitelyTyped;2012-10-05T16:39:45Z;2026-03-05T22:33:32Z;TypeScript;1;52950;8109;7543
agalwood/Motrix;2018-12-18T11:45:05Z;2026-03-05T20:38:16Z;JavaScript;21;192;1354;597
ethereum/go-ethereum;2013-12-26T13:05:46Z;2026-03-05T18:14:48Z;Go;228;8780;8635;8448
justjavac/awesome-wechat-weapp;2016-09-22T20:04:48Z;2026-03-05T15:06:54Z;N/A;0;278;0;0
poteto/hiring-without-whiteboards;2017-03-15T05:09:01Z;2026-03-05T20:58:56Z;JavaScript;0;1309;0;0
charlax/professional-programming;2015-11-07T05:07:52Z;2026-03-05T20:31:20Z;Python;0;43;32;32
FlowiseAI/Flowise;2023-03-31T12:23:09Z;2026-03-05T22:29:04Z;TypeScript;80;1571;2506;1870
dockur/windows;2024-01-14T13:09:40Z;2026-03-05T20:11:47Z;Shell;119;518;981;881
jgthms/bulma;2016-01-23T23:48:34Z;2026-03-05T21:47:10Z;CSS;22;646;2743;2403
jesseduffield/lazydocker;2019-05-18T08:53:50Z;2026-03-05T20:04:17Z;Go;45;191;397;204
harry0703/MoneyPrinterTurbo;2024-03-11T02:57:34Z;2026-03-05T22:02:18Z;Python;9;145;618;400
Avik-Jain/100-Days-Of-ML-Code;2018-07-05T09:11:43Z;2026-03-05T21:22:07Z;N/A;0;6;0;0
mastodon/mastodon;2016-02-22T15:01:25Z;2026-03-05T21:49:10Z;Ruby;327;19158;12737;8545
cypress-io/cypress;2015-03-04T00:46:28Z;2026-03-05T22:11:50Z;TypeScript;387;8074;15321;14121
NARKOZ/hacker-scripts;2015-11-21T19:05:09Z;2026-03-05T21:15:12Z;JavaScript;0;63;104;68
odoo/odoo;2014-05-13T15:38:58Z;2026-03-05T21:57:49Z;Python;0;6182;18815;15253
lyswhut/lx-music-desktop;2019-08-14T14:31:08Z;2026-03-05T19:58:31Z;TypeScript;112;88;2353;1275
dkhamsing/open-source-ios-apps;2015-01-26T23:32:34Z;2026-03-05T22:26:57Z;N/A;37;1543;333;333
AlistGo/alist;2020-12-23T17:40:29Z;2026-03-05T21:04:05Z;Go;143;899;4433;3890
jellyfin/jellyfin;2018-12-09T06:36:45Z;2026-03-05T21:38:55Z;C#;102;5176;8191;7558
nlohmann/json;2013-07-04T08:47:49Z;2026-03-05T22:21:18Z;C++;45;1007;2367;2330
dbeaver/dbeaver;2015-10-21T08:26:28Z;2026-03-05T22:10:19Z;Java;243;6727;20010;16848
mem0ai/mem0;2023-06-20T08:58:36Z;2026-03-05T21:52:41Z;Python;273;1819;1396;938
huginn/huginn;2013-03-10T06:00:31Z;2026-03-05T22:34:26Z;Ruby;1;1056;2179;1576
TanStack/query;2019-09-10T19:23:58Z;2026-03-05T21:54:20Z;TypeScript;1000;3200;2273;2203
ChrisTitusTech/winutil;2022-04-28T02:25:19Z;2026-03-05T21:57:34Z;PowerShell;34;1065;2146;2141
iamkun/dayjs;2018-04-10T09:26:44Z;2026-03-05T12:55:34Z;JavaScript;125;715;1825;867
JuliaLang/julia;2011-04-21T07:01:50Z;2026-03-05T22:22:20Z;Julia;195;26880;25836;21991
ReactiveX/RxJava;2013-01-08T20:11:48Z;2026-03-05T13:24:23Z;Java;243;3377;3181;3167
algorithm-visualizer/algorithm-visualizer;2016-05-15T00:27:45Z;2026-03-05T15:41:16Z;JavaScript;0;183;123;76
pandas-dev/pandas;2010-08-24T01:37:33Z;2026-03-05T22:15:04Z;Python;118;27964;28153;24714
sansan0/TrendRadar;2025-04-28T11:42:16Z;2026-03-05T22:24:38Z;Python;0;1;396;361
moment/moment;2011-03-01T02:46:06Z;2026-03-05T15:39:50Z;JavaScript;0;714;4166;3915
hashicorp/terraform;2014-03-13T22:25:48Z;2026-03-05T20:47:18Z;Go;403;13205;21614;19844
upstash/context7;2025-03-26T23:40:39Z;2026-03-05T22:25:29Z;TypeScript;49;264;1669;1522
x64dbg/x64dbg;2015-04-11T20:48:23Z;2026-03-05T21:58:37Z;C++;4;774;2686;2110
lllyasviel/Fooocus;2023-08-09T18:43:40Z;2026-03-05T21:55:22Z;Python;21;448;1642;1419
type-challenges/type-challenges;2020-07-23T14:33:11Z;2026-03-05T19:28:01Z;TypeScript;0;600;37045;3998
expo/expo;2016-08-15T17:14:25Z;2026-03-05T21:38:45Z;TypeScript;0;20634;18132;17803
serhii-londar/open-source-mac-os-apps;2017-11-03T02:35:33Z;2026-03-05T22:26:59Z;N/A;0;614;219;210
kelseyhightower/kubernetes-the-hard-way;2016-07-07T14:15:27Z;2026-03-05T18:37:03Z;N/A;0;73;438;416
minimaxir/big-list-of-naughty-strings;2015-08-08T20:57:20Z;2026-03-05T17:31:33Z;Python;0;89;101;32
kamranahmedse/design-patterns-for-humans;2017-02-16T21:24:39Z;2026-03-05T15:43:42Z;N/A;0;50;52;47
bigskysoftware/htmx;2020-04-13T16:17:51Z;2026-03-05T16:08:20Z;JavaScript;27;1049;1671;1068
gogs/gogs;2014-02-12T01:57:08Z;2026-03-05T22:29:53Z;Go;96;1869;5176;4255
skylot/jadx;2013-03-18T17:08:21Z;2026-03-05T19:53:30Z;Java;34;621;2050;1635
karan/Projects;2013-07-04T13:37:27Z;2026-03-05T22:29:50Z;N/A;0;19;92;37
run-llama/llama_index;2022-11-02T04:24:54Z;2026-03-05T21:29:51Z;Python;425;7639;6934;6718
freqtrade/freqtrade;2017-05-17T23:48:53Z;2026-03-05T22:19:53Z;Python;110;6325;5559;5529
ggml-org/whisper.cpp;2022-09-25T18:26:37Z;2026-03-05T22:07:46Z;C++;31;932;1871;873
akullpp/awesome-java;2014-07-09T10:12:43Z;2026-03-05T22:27:01Z;N/A;0;733;139;136
1c7/chinese-independent-developer;2017-09-21T11:08:23Z;2026-03-05T21:56:37Z;N/A;0;411;243;239
typescript-cheatsheets/react;2018-06-02T04:08:16Z;2026-03-05T20:16:29Z;JavaScript;0;375;224;224
brillout/awesome-react-components;2016-06-24T15:19:33Z;2026-03-05T18:24:50Z;N/A;0;343;56;45
jakevdp/PythonDataScienceHandbook;2016-08-10T14:24:36Z;2026-03-05T20:47:34Z;Jupyter Notebook;0;28;208;79
serverless/serverless;2015-04-21T03:48:40Z;2026-03-05T09:41:52Z;JavaScript;480;4849;6598;5481
v2ray/v2ray-core;2015-09-04T11:42:53Z;2026-03-05T13:26:29Z;Go;247;203;2596;2593
slab/quill;2012-07-30T23:23:18Z;2026-03-05T21:32:28Z;TypeScript;95;382;3821;3269
square/okhttp;2012-07-23T13:42:55Z;2026-03-05T13:21:38Z;Kotlin;0;3965;4246;4180
Homebrew/brew;2016-03-06T05:08:38Z;2026-03-05T20:26:33Z;Ruby;473;13794;4995;4987
pixijs/pixijs;2013-01-21T22:40:50Z;2026-03-05T20:43:14Z;TypeScript;303;3805;6071;5800
GokuMohandas/Made-With-ML;2018-11-05T03:44:27Z;2026-03-05T21:22:43Z;Jupyter Notebook;1;147;77;59
discourse/discourse;2013-01-12T00:25:55Z;2026-03-05T22:28:45Z;Ruby;0;33401;0;0
tw93/Pake;2022-10-14T09:32:57Z;2026-03-05T21:46:39Z;Rust;41;110;474;473
OpenCut-app/OpenCut;2025-06-22T08:02:17Z;2026-03-05T22:14:37Z;TypeScript;2;187;249;85
metabase/metabase;2015-02-02T19:25:47Z;2026-03-05T22:05:39Z;Clojure;733;39477;24378;20723
DovAmir/awesome-design-patterns;2018-06-04T17:47:48Z;2026-03-05T22:27:04Z;N/A;0;30;16;5
makeplane/plane;2022-11-19T12:55:01Z;2026-03-05T22:24:16Z;TypeScript;54;6278;1565;964
ClickHouse/ClickHouse;2016-06-02T08:28:18Z;2026-03-05T22:32:55Z;C++;746;59082;27421;22869
virattt/ai-hedge-fund;2024-11-29T16:30:01Z;2026-03-05T22:28:05Z;Python;0;40;230;203
ziishaned/learn-regex;2017-07-22T12:21:03Z;2026-03-05T22:34:30Z;N/A;0;132;87;36
Asabeneh/30-Days-Of-JavaScript;2019-12-23T14:07:40Z;2026-03-05T19:20:21Z;JavaScript;0;100;178;60
oobabooga/text-generation-webui;2022-12-21T04:17:37Z;2026-03-05T22:32:43Z;Python;92;1235;4097;1455
dypsilon/frontend-dev-bookmarks;2013-06-22T13:23:55Z;2026-03-05T22:27:05Z;N/A;1;129;109;82
astral-sh/ruff;2022-08-09T17:17:44Z;2026-03-05T22:22:27Z;Rust;402;13603;7796;6157
acmesh-official/acme.sh;2015-12-26T12:56:33Z;2026-03-05T22:30:15Z;Shell;46;1511;3511;2387
microsoft/AI-For-Beginners;2021-03-03T16:27:36Z;2026-03-05T21:37:19Z;Jupyter Notebook;0;289;149;148
microsoft/monaco-editor;2016-06-07T16:56:31Z;2026-03-05T20:02:05Z;JavaScript;187;558;3965;3229
tldraw/tldraw;2021-05-09T11:48:37Z;2026-03-05T22:27:43Z;TypeScript;101;4427;2153;1877
android/architecture-samples;2016-02-05T13:42:07Z;2026-03-05T13:33:03Z;Kotlin;0;232;491;349
ghostty-org/ghostty;2022-03-29T17:38:26Z;2026-03-05T22:28:07Z;Zig;1;3606;2015;1888
GitHubDaily/GitHubDaily;2018-12-30T13:56:58Z;2026-03-05T21:22:52Z;N/A;0;3;712;181
prisma/prisma;2019-06-20T13:33:47Z;2026-03-05T22:10:37Z;TypeScript;242;6747;11823;9435
LeCoupa/awesome-cheatsheets;2017-11-09T02:47:15Z;2026-03-05T09:38:43Z;JavaScript;0;171;100;59
jeecgboot/JeecgBoot;2018-11-26T10:40:00Z;2026-03-05T13:29:49Z;Java;68;126;8155;8119
ColorlibHQ/AdminLTE;2013-12-25T02:52:40Z;2026-03-05T16:08:22Z;CSS;77;1565;2907;2769
jestjs/jest;2013-12-10T00:18:04Z;2026-03-05T18:00:39Z;TypeScript;213;5774;8178;7971
google/zx;2021-05-05T05:50:01Z;2026-03-05T16:32:37Z;JavaScript;100;603;511;492
coreybutler/nvm-windows;2014-09-20T16:37:28Z;2026-03-05T17:59:19Z;Go;23;107;950;875
crewAIInc/crewAI;2023-10-27T03:26:59Z;2026-03-05T22:35:31Z;Python;141;1393;1765;1689
bevyengine/bevy;2020-01-18T21:13:55Z;2026-03-05T21:57:59Z;Rust;53;7483;8010;5351
NanmiCoder/MediaCrawler;2023-06-09T12:14:34Z;2026-03-05T21:44:33Z;Python;0;132;567;435
RocketChat/Rocket.Chat;2015-05-19T07:36:09Z;2026-03-05T22:23:37Z;TypeScript;1000;15683;16818;14498
isocpp/CppCoreGuidelines;2015-08-19T20:22:52Z;2026-03-05T20:04:21Z;CSS;4;825;1230;990
meteor/meteor;2012-01-19T01:58:17Z;2026-03-05T13:29:11Z;JavaScript;0;2664;9256;9020
KRTirtho/spotube;2021-02-14T03:17:58Z;2026-03-05T22:05:40Z;Dart;43;257;2023;1304
coqui-ai/TTS;2020-05-20T15:45:28Z;2026-03-05T19:31:12Z;Python;98;467;1229;1225
vercel/hyper;2016-07-01T06:01:21Z;2026-03-05T21:52:12Z;TypeScript;88;3291;3821;2874
slidevjs/slidev;2021-04-24T01:25:23Z;2026-03-05T21:46:32Z;TypeScript;419;804;1295;1139
penpot/penpot;2015-12-29T22:09:07Z;2026-03-05T22:34:05Z;Clojure;69;5511;2171;1625
Leaflet/Leaflet;2010-09-22T16:57:44Z;2026-03-05T21:28:38Z;JavaScript;34;3237;5342;4943
gedoor/legado;2019-05-22T04:18:58Z;2026-03-05T19:54:54Z;Kotlin;115;1139;3199;3171
react-hook-form/react-hook-form;2019-03-05T23:47:10Z;2026-03-05T20:13:53Z;TypeScript;600;2141;4926;4841
karpathy/nanochat;2025-10-13T13:46:35Z;2026-03-05T22:15:25Z;Python;0;73;118;102
apache/airflow;2015-04-13T18:04:58Z;2026-03-05T22:03:15Z;Python;114;34174;13887;12542
grpc/grpc;2014-12-08T18:58:53Z;2026-03-05T18:25:10Z;C++;364;20507;11918;11223
GitSquared/edex-ui;2017-01-28T09:35:02Z;2026-03-05T20:18:24Z;JavaScript;29;399;559;553
pyenv/pyenv;2012-08-31T06:57:52Z;2026-03-05T21:23:01Z;Shell;150;1039;1882;1832
sudheerj/reactjs-interview-questions;2018-05-31T17:17:01Z;2026-03-05T21:06:06Z;JavaScript;0;170;113;109
docker/awesome-compose;2020-02-13T08:51:42Z;2026-03-05T22:27:07Z;HTML;0;149;140;43
astaxie/build-web-application-with-golang;2012-08-02T11:49:35Z;2026-03-05T22:34:26Z;Go;0;757;306;183
parcel-bundler/parcel;2017-08-07T16:36:47Z;2026-03-05T16:04:07Z;JavaScript;52;2600;5521;5052
NaiboWang/EasySpider;2020-07-18T02:41:27Z;2026-03-05T19:36:02Z;JavaScript;10;44;757;495
iina/iina;2016-12-19T07:18:45Z;2026-03-05T20:09:51Z;Swift;47;882;4376;2506
streamich/react-use;2018-10-27T10:16:05Z;2026-03-05T19:58:04Z;TypeScript;256;1533;609;245
lukasz-madon/awesome-remote-job;2015-01-02T00:31:34Z;2026-03-05T22:27:09Z;N/A;0;593;89;75
square/retrofit;2010-09-06T21:39:43Z;2026-03-05T18:42:07Z;HTML;4;1343;2764;2637
babel/babel;2014-09-28T13:38:23Z;2026-03-05T22:08:56Z;TypeScript;452;6544;9056;8463
yangshun/front-end-interview-handbook;2018-01-13T19:40:08Z;2026-03-05T17:47:44Z;MDX;0;350;102;91
aymericdamien/TensorFlow-Examples;2015-11-11T14:21:19Z;2026-03-05T21:23:02Z;Jupyter Notebook;0;88;238;71
streamlit/streamlit;2019-08-24T00:14:52Z;2026-03-05T21:34:46Z;Python;116;6857;5781;4655
upscayl/upscayl;2022-07-30T17:19:20Z;2026-03-05T21:31:36Z;TypeScript;29;0;1035;979
SimplifyJobs/Summer2026-Internships;2020-05-23T20:53:18Z;2026-03-05T22:31:28Z;Python;0;1674;7246;7245
AykutSarac/jsoncrack.com;2022-01-30T15:25:18Z;2026-03-05T20:21:32Z;TypeScript;22;89;281;246
FuelLabs/fuels-rs;2021-10-31T22:33:54Z;2026-03-05T07:22:45Z;Rust;120;908;663;613
spf13/cobra;2013-09-03T20:40:26Z;2026-03-05T20:46:04Z;Go;27;626;1238;997
